route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
ST.16,20220814_MTWTF--_8,514000,Hlemmur,,1,4410_16-A,16_f16_1005361_2_51
ST.16,20220814_MTWTF--_8,514001,Hlemmur,,1,4416_17-B,16_f16_1005361_2_51
ST.16,20220814_MTWTF--_8,514002,Hlemmur,,1,4414_17-A,16_f16_1005361_2_51
ST.16,20220814_MTWTF--_8,514003,Hlemmur,,1,4412_16-C,16_f16_1005361_2_51
ST.16,20220814_MTWTF--_8,514004,Hlemmur,,1,4411_16-B,16_f16_1005361_2_51
ST.16,20220814_MTWTF--_8,514005,Hlemmur,,1,4410_16-A,16_f16_1005361_2_51
ST.16,20220814_MTWTF--_8,514006,Hlemmur,,1,4416_17-B,16_f16_1005361_2_51
ST.16,20220814_MTWTF--_8,514007,Hlemmur,,1,4414_17-A,16_f16_1005361_2_51
ST.16,20220814_MTWTF--_8,514008,Hlemmur,,1,4412_16-C,16_f16_1005361_2_51
ST.16,20220814_MTWTF--_8,514009,Hlemmur,,1,4411_16-B,16_f16_1005361_2_51
ST.16,20220814_MTWTF--_8,514010,Hlemmur,,1,4410_16-A,16_f16_1005361_2_60
ST.16,20230224_MTWTF--_54,524060,arbaer/Hraunsas,,0,4411_16-B,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524061,arbaer/Hraunsas,,0,4410_16-A,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524062,arbaer/Hraunsas,,0,4414_17-A,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524063,arbaer/Hraunsas,,0,4412_16-C,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524064,arbaer/Hraunsas,,0,4411_16-B,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524065,arbaer/Hraunsas,,0,4414_17-A,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524066,arbaer/Hraunsas,,0,4410_16-A,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524067,arbaer/Hraunsas,,0,4416_17-B,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524068,arbaer/Hraunsas,,0,4414_17-A,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524069,arbaer/Hraunsas,,0,4412_16-C,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524070,arbaer/Hraunsas,,0,4411_16-B,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524071,arbaer/Hraunsas,,0,4410_16-A,16_f16_1005361_1_1
